GSSyear                    ,Idnum,Ballot used for interview,prestige
2012,619,Ballot c,39
2012,620,Ballot a,0
2012,621,Ballot c,48
2012,622,Ballot b,60
2012,623,Ballot b,59
2012,624,Ballot c,43
2012,625,Ballot a,32
2012,626,Ballot a,51
2012,627,Ballot b,38
2012,628,Ballot a,64
2012,629,Ballot c,60
2012,630,Ballot c,28
2012,631,Ballot a,49
2012,632,Ballot b,0
2012,633,Ballot b,60
2012,634,Ballot a,38
2012,635,Ballot a,26
2012,636,Ballot c,50
2012,637,Ballot a,39
2012,638,Ballot b,25
2012,639,Ballot c,50
2012,640,Ballot b,50
2012,641,Ballot c,48
2012,642,Ballot b,0
2012,643,Ballot b,38
2012,644,Ballot a,38
2012,645,Ballot b,35
2012,646,Ballot c,64
2012,647,Ballot a,21
2012,648,Ballot a,73
2012,649,Ballot c,31
2012,650,Ballot b,31
2012,651,Ballot c,47
2012,652,Ballot b,25
2012,653,Ballot b,37
2012,654,Ballot c,28
2012,655,Ballot b,53
2012,656,Ballot b,24
2012,657,Ballot c,43
2012,658,Ballot a,51
2012,659,Ballot b,31
2012,660,Ballot a,31
2012,661,Ballot c,24
2012,662,Ballot b,32
2012,663,Ballot a,61
2012,664,Ballot c,21
2012,665,Ballot a,49
2012,666,Ballot b,34
2012,667,Ballot c,24
2012,668,Ballot c,32
2012,669,Ballot c,51
2012,670,Ballot b,48
2012,671,Ballot c,37
2012,672,Ballot c,61
2012,673,Ballot a,54
2012,674,Ballot b,60
2012,675,Ballot b,24
2012,676,Ballot c,38
2012,677,Ballot c,28
2012,678,Ballot c,50
2012,679,Ballot a,64
2012,680,Ballot c,25
2012,681,Ballot b,37
2012,682,Ballot c,35
2012,683,Ballot b,35
2012,684,Ballot b,42
2012,685,Ballot a,45
2012,686,Ballot c,48
2012,687,Ballot b,49
2012,688,Ballot b,35
2012,689,Ballot a,73
2012,690,Ballot c,0
2012,691,Ballot b,46
2012,692,Ballot c,53
2012,693,Ballot a,72
2012,694,Ballot b,47
2012,695,Ballot b,39
2012,696,Ballot c,46
2012,697,Ballot b,49
2012,698,Ballot b,56
2012,699,Ballot b,64
2012,700,Ballot a,45
2012,701,Ballot c,45
2012,702,Ballot b,0
2012,703,Ballot a,63
2012,704,Ballot b,0
2012,705,Ballot a,47
2012,706,Ballot c,60
2012,707,Ballot c,31
2012,708,Ballot a,50
2012,709,Ballot b,38
2012,710,Ballot b,73
2012,711,Ballot b,43
2012,712,Ballot a,48
2012,713,Ballot c,47
2012,714,Ballot a,21
2012,715,Ballot b,48
2012,716,Ballot c,28
2012,717,Ballot b,35
2012,718,Ballot a,80
2012,719,Ballot a,31
2012,720,Ballot a,34
2012,721,Ballot c,27
2012,722,Ballot c,40
2012,723,Ballot b,48
2012,724,Ballot a,45
2012,725,Ballot c,35
2012,726,Ballot c,64
2012,727,Ballot a,63
2012,728,Ballot b,36
2012,729,Ballot c,21
2012,730,Ballot b,45
2012,731,Ballot c,0
2012,732,Ballot b,53
2012,733,Ballot a,47
2012,734,Ballot b,57
2012,735,Ballot a,61
2012,736,Ballot b,43
2012,737,Ballot c,17
2012,738,Ballot b,25
2012,739,Ballot c,34
2012,740,Ballot b,37
2012,741,Ballot a,64
2012,742,Ballot c,63
2012,743,Ballot b,33
2012,744,Ballot a,60
2012,745,Ballot b,46
2012,746,Ballot c,54
2012,747,Ballot a,50
2012,748,Ballot b,0
2012,749,Ballot b,28
2012,750,Ballot c,44
2012,751,Ballot b,64
2012,752,Ballot c,26
2012,753,Ballot b,51
2012,754,Ballot b,49
2012,755,Ballot c,0
2012,756,Ballot b,47
2012,757,Ballot a,60
2012,758,Ballot a,0
2012,759,Ballot b,0
2012,760,Ballot a,39
2012,761,Ballot b,31
2012,762,Ballot b,73
2012,763,Ballot b,35
2012,764,Ballot c,31
2012,765,Ballot a,49
2012,766,Ballot c,47
2012,767,Ballot a,37
2012,768,Ballot c,33
2012,769,Ballot b,38
2012,770,Ballot a,16
2012,771,Ballot a,25
2012,772,Ballot c,28
2012,773,Ballot a,31
2012,774,Ballot c,35
2012,775,Ballot c,17
2012,776,Ballot c,54
2012,777,Ballot c,50
2012,778,Ballot a,31
2012,779,Ballot b,21
2012,780,Ballot c,45
2012,781,Ballot b,30
2012,782,Ballot c,61
2012,783,Ballot a,73
2012,784,Ballot c,56
2012,785,Ballot c,50
2012,786,Ballot b,45
2012,787,Ballot c,52
2012,788,Ballot a,35
2012,789,Ballot c,32
2012,790,Ballot a,65
2012,791,Ballot c,38
2012,792,Ballot b,35
2012,793,Ballot a,59
2012,794,Ballot c,40
2012,795,Ballot a,28
2012,796,Ballot b,60
2012,797,Ballot a,49
2012,798,Ballot c,75
2012,799,Ballot c,64
2012,800,Ballot a,35
2012,801,Ballot b,31
2012,802,Ballot a,70
2012,803,Ballot c,38
2012,804,Ballot c,39
2012,805,Ballot b,73
2012,806,Ballot c,0
2012,807,Ballot b,48
2012,808,Ballot c,30
2012,809,Ballot c,35
2012,810,Ballot a,26
2012,811,Ballot a,35
2012,812,Ballot b,33
2012,813,Ballot c,35
2012,814,Ballot b,42
2012,815,Ballot b,53
2012,816,Ballot a,35
2012,817,Ballot b,64
2012,818,Ballot c,35
2012,819,Ballot a,48
2012,820,Ballot c,21
2012,821,Ballot a,60
2012,822,Ballot b,48
2012,823,Ballot c,51
2012,824,Ballot c,28
2012,825,Ballot a,43
2012,826,Ballot c,55
2012,827,Ballot a,45
2012,828,Ballot a,47
2012,829,Ballot b,59
2012,830,Ballot c,54
2012,831,Ballot b,38
2012,832,Ballot c,53
2012,833,Ballot a,60
2012,834,Ballot b,48
2012,835,Ballot c,45
2012,836,Ballot b,35
2012,837,Ballot a,35
2012,838,Ballot c,24
2012,839,Ballot b,45
2012,840,Ballot b,60
2012,841,Ballot c,39
2012,842,Ballot a,51
2012,843,Ballot b,39
2012,844,Ballot c,38
2012,845,Ballot b,61
2012,846,Ballot c,37
2012,847,Ballot b,31
2012,848,Ballot c,28
2012,849,Ballot a,49
2012,850,Ballot b,39
2012,851,Ballot c,50
2012,852,Ballot b,64
2012,853,Ballot c,39
2012,854,Ballot a,33
2012,855,Ballot b,24
2012,856,Ballot a,35
2012,857,Ballot b,21
2012,858,Ballot a,39
2012,859,Ballot a,28
2012,860,Ballot c,38
2012,861,Ballot a,38
2012,862,Ballot b,73
2012,863,Ballot b,0
2012,864,Ballot c,24
2012,865,Ballot b,17
2012,866,Ballot a,50
2012,867,Ballot a,73
2012,868,Ballot b,60
